Cause,Title,No_of_victims
Struck By Moving Objects, Employee Is Crushed And Killed While Welding On Truck ,Single
Electrocution, Employee'S Thumb Is Crushed When Truck Engine Falls ,Single
Falls, Employee Found Unconscious Dies ,Single
Fires and Explosion, Employee Is Struck By Boom On Tow Truck And Killed ,Single
Fires and Explosion, Tow Truck Driver Preparing To Tow Vehicle Sustains Fractures ,Single
Struck By Moving Objects, Worker Fractures Hip In Fall When Strap Fitting Comes Loose ,Single
Struck By Moving Objects, Auto Worker Sustains Fracture When Struck By Falling Axle ,Single
Struck By Moving Objects, Employee Caught In Avalanche Later Dies ,Single
Other, Avalanche Buries Employee And Guests ,Single
Caught in/between Objects, Employee Is Killed When Buried In Avalanche ,Single
Electrocution, An Avalanche Control Skier Dies When Buried In Snow ,Single
Electrocution, Employee Dies After Being Caught In An Avalanche ,Single
Electrocution, Employee Injured When Thrown From Vehicle ,Single
Falls, Employee Injured In Avalanche During Ski Patrol Exercise ,Single
Electrocution, Employee Killed In Avalanche ,Single
Electrocution, Employee Crushed To Death In Avalanche ,Single
Electrocution, Ski Patrol Member Injured When Caught In Avalanche ,Single
Electrocution, Employee Killed By Falling Ice In Avalanche ,Single
Electrocution, Employee Killed When Buried By Avalanche ,Single
Falls, Employee Killed When Explosive Charge Detonates ,Single
Falls, Employee Injured When Buried In Avalanche ,Single
Falls, Employee Killed By Avalanche ,Single
Falls, Skier Killed In Avalanche ,Single
Falls, Employee Dies In Avalanche ,Single
Falls, Employees Die When Covered By Mud Avalanche ,Multiple
Falls, Employee Killed In Avalanche ,Single
Falls, Roofer Sustains Multiple Injuries In Fall From Ladder ,Single
Collapse of object, Employee Is Exposed To Fire And Is Injured ,Single
Caught in/between Objects, Employee Is Shocked By Light  Falls And Is Injured ,Single
Struck By Moving Objects, Employee Is Struck By Falling Lift And Suffers Injuries ,Single
Falls, Employee Falls Into Trench And Is Injured ,Single
Falls, Skill Saw Kicked Back And Lacerated Solar Workers Hand ,Multiple
Other, Employee Falls From Ladder  Fractures Back ,Single
Struck By Moving Objects, Employee Fractures Back When Struck By Bus ,Single
Struck By Moving Objects, Employee Fractures Back When Struck By Wood Beam ,Single
Other, Employee Amputates Thumb With Circular Saw ,Single
Falls, Supervisor Falls From Ladder And Injures Back And Head ,Single
Falls, Worker Falls From Scaffold Ladder And Fractures Back And Hip ,Single
Falls, Worker Operating Circular Saw Sustains Deep Cut To Leg ,Single
Falls, Employee Amputates Finger On Table Saw ,Single
Falls, Employee Partially Amputates Finger On Table Saw ,Single
Falls, Wood Worker Amputates Finger With Table Saw ,Single
Falls, Worker Is Injured When Struck By Powered Industrial Truck ,Single
Falls, Worker Hurts Back While Moving Refrigerator ,Single
Falls, Worker Slips On Condensation On Floor And Injures Back ,Single
Falls, Worker Injures Back When Boom Lift Runs Away On Grade ,Single
Falls, Groundskeeper Becomes Incapacitated And Dies Of Cancer ,Single
Falls, Employee Injures Back While Exiting Crane ,Single
Falls, Nurse Injures Neck While Moving Patients ,Single
Collapse of object, Employee Is Injured By Falling Door   Later Dies ,Single
Falls, Employee Is Injured In Fall From Atv On Forest Trail ,Single
Struck By Moving Objects, Employee Is Injured In Loader Roll Over ,Single
Falls, Construction Zone Flagger Is Stuck By Vehicle ,Single
Falls, Employee Injures Back While Lifting Door Frame ,Single
Falls, Welder Experiences Lower Back Pain After Lifting Metal Piece ,Single
Falls, Employee Slips And Falls On Green Bean ,Single
Collapse of object, Worker Is Injured After Falling From Trailer ,Single
Other, Two Employees Are Injured While Fighting Building Fire ,Multiple
Falls, Employee Is Injured When Loading Equipment Into Vehicle ,Single
Falls, Employee Suffers Back Injury While Moving Patient ,Single
Struck By Moving Objects, Employee Sustains Collapsed Lung While Lifting Material ,Single
Caught in/between Objects, Employee In Trench Is Struck In Back By Falling Dirt ,Single
Other, Road Construction Worker Is Crushed By Roller Machine ,Single
Struck By Moving Objects, Employee Is Killed When Crushed Between Trailer And Forklift ,Single
Falls, Worker Dies From Embolism That Resulted From Ankle Injury ,Single
Struck By Moving Objects, Driver Is Run Over And Killled In Food Company Warehouse Lot ,Single
Falls, Employee Is Killed When Run Over By Trash Truck ,Single
Collapse of object, Employee Is Killed When Run Over By Trailer ,Single
Struck By Moving Objects, Employee Faints In Trench ,Single
Falls, Employee Crushes Finger Tip Against Bucket ,Single
Other, Employee Injured In Backhoe Accident ,Single
Electrocution, Employee Suffers Skull Fractures From Structural Collapse Wi ,Single
Struck By Moving Objects, Employee Is Crushed And Killed By Excavator ,Single
Electrocution, Employee Hit While In Trench By Back Hoe. ,Single
Falls, Employee Is Injured In Excavation Cave In ,Single
Caught in/between Objects, Employee Amputates Finger When Caught In Pulley And Flywheel ,Single
Electrocution, Employee Suffers Multiple Fractures When Struck By Rail ,Single
Electrocution, Operator Is Fatally Crushed When Backhoe Overturns ,Single
Electrocution, Employee Is Killed When Pinned Under Backhoe ,Single
Electrocution, Employee In Trench Is Struck And Killed By Bucket Of Backhoe ,Single
Falls, Backhoe Operator Is Pinned Between Boom And Outrigger ,Single
Falls, Employee'S Tibia Is Injured When Struck By Backhoe Bucket ,Single
Fires and Explosion, Employee In Trench Is Injured When Hit By Concrete Debris ,Single
Electrocution, Employee Is Killed When Struck By Steel Pipe ,Single
Struck By Moving Objects, Water Well Driller'S Hand Is Crushed By Backhoe ,Single
Electrocution, Employee Is Killed When Arm  Neck And Head Is Crushed ,Single
Falls, Employee Killed When Pinned By Backhoe Bucket ,Single
Falls, Employee Killed Between Backhoe Boom And Outrigger ,Single
Falls, Employee Is Crushed And Killed By Backhoe Boom ,Single
Struck By Moving Objects, Employe Is Killed When Struck By Backhoe Boom ,Single
Fires and Explosion, Employee Fractures Ribs When Struck By Backhoe Boom ,Single
Fires and Explosion, Employee Sustains Fractures When Compactor Falls ,Single
Struck By Moving Objects, Employee Is Killed When Crushed By Backhoe Boom ,Single
Other, Employee Killed When Struck By Backhoe ,Single
Falls, Backhoe Crushes Employee ,Single
Electrocution, Employee Is Killed When Crushed By Backhoe Boom ,Single
Electrocution, Employee Electrocuted When Backhoe Boom Strikes Power Line ,Single
Electrocution, Employee Struck By Backhoe Boom ,Single
Electrocution, Employee Injured When Thumb Caught In Backhoe Boom ,Single
Electrocution, Employee Dies When Crushed By Backhoe Bucket ,Single
Falls, Electric Shock ,Single
Electrocution, Employee Fractured Leg When Caught Between Boom And Tractor ,Single
Other, Electric Shock ,Single
Electrocution, Employee Injures Leg When Struck By Manhole Base ,Single
Struck By Moving Objects, One Is Killed  One Is Injured When Backhoe Loader Overturns ,Single
Suffocation, Employee Amputates Finger In Hole Of Backhoe Arm ,Single
Collapse of object, Employee Breaks Leg When Struck By Falling Mailbox ,Single
Collapse of object, Employee Breaks Leg When Struck By Backhoe Sling ,Single
Struck By Moving Objects, Employee Is Killed When Backhoe Tips To Side ,Single
Fires and Explosion, Employee'S Finger Is Amputated By Backhoe Arm ,Single
Struck By Moving Objects, Backhoe Failure Causes Bucket To Strike Worker  Killing Him ,Single
Struck By Moving Objects, Employee'S Leg Is Fractured When Struck By Excavator Bucket ,Single
Struck By Moving Objects, Employee Is Injured When Pinned By Excavator Bucket ,Single
Falls, Employee Is Killed When Caught Between Loader And Backhoe ,Single
Caught in/between Objects, Employee Is Struck By Backhoe Bucket  Sustains Concussion ,Single
Falls, Employee Is Injured When Struck By Backhoe Bucket ,Single
Falls, Employee Killed When Struck By Loader/Backhoe Bucket ,Single
Falls, Employee Killed When Struck By Falling Excavator Bucket ,Single
Falls, Employee Is Killed When Struck By Backhoe Bucket ,Single
Falls, Employee Is Killed When Caught Between Forklift And Rail ,Single
Falls, Employee Is Killed When Thrown From Forklift ,Single
Exposure to extreme temperatures, Employee Is Run Over By Forklift And Killed ,Single
Falls, Employee Fractures Foot When Ran Over By Tractor ,Single
Falls, Employee Is Killed  Pinned Between Truck And Loading Dock ,Single
Other, Employee Is Struck By Dump Truck  Dies ,Single
Falls, Employee Loses Balance And Falls Backwards  Fractures Chest ,Single
Other, Non,Single
Other, Employee Is Injured When Run Over By Truck ,Single
Struck By Moving Objects, Employee Fractures Arm In Fall From Ladder ,Single
Fires and Explosion, Employee Fractures Legs When Struck And Run Over By Tractor ,Single
Fires and Explosion, Employee Fractures Foot Between Vehicle And Rail ,Single
Drowning, Employee'S Foot Is Lacerated  When Struck By Forklift ,Single
Other, Worker Is Crushed Between Truck And Trailer ,Single
Falls, Employee Suffers Fractures When Struck By Bob Cat ,Single
Other, Employee Is Struck By Lunch Wagon  Suffers Fracture ,Single
Exposure to extreme temperatures, Employee Is Killed When Crushed By Tactor Trailer ,Single
Falls, Employee Is Injured When Caught By Baggage Conveyor ,Single
Electrocution, Employee Is Found Unresponsive  Dead ,Single
Struck By Moving Objects, Employee Is Injured In Fall From Tug Tractor ,Single
Caught in/between Objects, Employee Amputates Finger On Baggage Conveyor Belt ,Single
Struck By Moving Objects, Employee Amputates Fingers While Working Baggage Conveyor ,Single
Fires and Explosion, Employee Is Killed When Pinned By Baggage Tow Tractor ,Single
Struck By Moving Objects, Employee Injures Arm In Airport Baggage Conveyor ,Single
Other, Employee'S Finger Lacerated When Struck By Falling Container ,Single
Struck By Moving Objects, Employee'S Foot Crushed By Aircraft Baggage Loader ,Single
Struck By Moving Objects, Employee'S Toes Crushed Between Baggage Conveyor Belts ,Single
Collapse of object, Two Employee Injured When Aircraft Belt Loader Crashed ,Single
Falls, Employee'S Leg Fractured When Pinned By Tug ,Single
Struck By Moving Objects, Employee Dies From Heat Stroke While Loading Baggage ,Single
Struck By Moving Objects, Employee'S Legs Lacerated From Baggage Carousel ,Single
Other, Employee Killed When Caught In Baggage Conveyor ,Single
Struck By Moving Objects, Employee'S Leg Injured When Pinned By Baggage Tractor ,Single
Falls, Employee'S Finger Amputated In Luggage Conveyor ,Single
Caught in/between Objects, Employee'S Finger Amputated In Conveyor Belt Chain Drive. ,Single
Other, Employee Injured When Caught Between Parts Of Cargo Loader ,Single
Fires and Explosion, Bakery Worker Severs Finger In Dough Divider ,Single
Caught in/between Objects, Employee Fractures Hip After Slipping And Falling ,Single
Other, Employee Lacerates Face When Struck By Bakery Rack ,Single
Falls, Employee'S Vertebrae Are Broken By Fallen Bread Rack ,Single
Struck By Moving Objects, Employee'S Arm Is Fractured When Board Falls On It ,Single
Struck By Moving Objects, Employee Is Injured After Being Caught In Rack Proofer ,Single
Struck By Moving Objects, Employee Crushes Finger In Bakery Pan Stacker ,Single
Other, Employee Injured When Caught Between Heavy Objects ,Single
Other, Employee Injured From Falling Rack When Lift Collapses ,Single
Other, Employee Suffers Amputation ,Single
Fires and Explosion, Employee'S Fingertip Amputated In Pan Stacker ,Single
Other, Backery Employee Sustained A Second,Single
Other, Employee Injured When Bakery Rack Overturns During Fall ,Single
Struck By Moving Objects, Employee Injured When Rolling Bakery Rack Overturns ,Single
Falls, Employee Dies After 23 In. Fall From Bread Rack ,Single
Electrocution, Struck By Overturning Cake Rack ,Single
Collapse of object, Employee Fractures Foot While Moving Hay Bales ,Single
Other, Employee Is Struck By Baler Door  Fractures Arm And Leg ,Single
Drowning, Employee Fractures Right Wrist In Machine ,Single
Other, Employee'S Legs Are Amputated In Baler ,Single
Other, Employee Fractures Leg In Baler ,Single
Falls, Employee Is Injured When He Jumped From A Bale Wagon ,Single
Caught in/between Objects, Employee Is Burned When Using Cutting Torch ,Single
Falls, Baler Machine Cathes Fire And Burns Worker ,Single
Falls, Machinist Is Killed While Operating Baler ,Single
Falls, Employee Is Killed When Crushed By Falling Hay Bale ,Single
Falls, Employee Is Killed When Run Over By Payloader ,Single
Other, An Employee Is Hit As Baler Door Blows Open  Later Dies ,Single
Falls, Employee Gets Leg Amputation By Baler ,Single
Falls, Employee Sustains Fractures When Caught In Cardboard Baler ,Single
Falls, Employee Is Impaled By Baler Part  Later Dies ,Single
Falls, Employee Injures Hand While Working On Baler ,Single
Falls, Employee Is Killed When Crushed By Compactor/Baler ,Single
Falls, Employee Is Struck By Construction Dumpster  Later Dies ,Single
Struck By Moving Objects, Employee Injures Hand In Cardboard Baler ,Single
Struck By Moving Objects, Employee Is Killed By Paper Baler ,Single
Struck By Moving Objects, Employee Is Killed When Crushed In Bale Gate Door ,Single
Caught in/between Objects, Employee'S Finger Amputated In Compactor/Bailer Accident ,Single
Struck By Moving Objects, Employee'S Leg Fractured In Baler Door ,Single
Struck By Moving Objects, Employee Found Dead Inside Baler Box ,Single
Struck By Moving Objects, Employee Killed When Stuck Between Door And Baler Frame ,Single
Struck By Moving Objects, Employee Killed When Struck By Heavy Metal Door ,Single
